facilityid,name,city,county,state,zip,capacity,type,securelvl,status,flood_risk_rating,flood_risk,confidence,latitude,longitude
10004206,Stanley County Detention Center,Albemarle,Stanly,NC,28001,135,County,Not Available,Open,7,Severe,High,35.3487970006414,-80.1974940300907
10004171,Wake County Detention Annex,Raleigh,Wake,NC,27603,400,County,Not Available,Open,1,Minimal,High,35.7332759889463,-78.6422820196684
10005527,Jones County Jail,Trenton,Jones,NC,28585,21,County,Not Available,Open,1,Minimal,High,35.0631399802226,-77.3532930004193
10005511,Washington County Jail,Plymouth,Washington,NC,27962,42,County,Not Available,Open,1,Minimal,High,35.8669499940551,-76.7488130260021
10005522,Graham County Jail,Robbinsville,Graham,NC,28771,8,County,Not Available,Open,1,Minimal,High,35.3229938474992,-83.8064902821557
10006148,Fci Butner Medium I,Butner,Granville,NC,27509,492,Federal,Medium,Open,1,Minimal,High,36.137455,-78.7617299999999
10001761,Fci Butner Medium Ii,Butner,Granville,NC,27509,1151,Federal,Medium,Open,1,Minimal,Medium,36.137455,-78.7617299999999
10004211,Gaston County Jail,Gastonia,Gaston,NC,28052,584,County,Not Available,Open,1,Minimal,High,35.2674880136119,-81.18377396892
10001023,Alexander Correctional Institution,Taylorsville,Alexander,NC,28681,1180,State,Close,Open,1,Minimal,High,35.8845548667156,-81.17033947894
10001759,Bertie Correctional Institution,Windsor,Bertie,NC,27983,1504,State,Close,Open,1,Minimal,High,35.9754769904425,-76.9083369881419
10004216,Carteret Correctional Center,Newport,Carteret,NC,28570,300,State,Minimum,Open,4,Moderate,High,34.7828589867721,-76.8481010277048
10004177,Davidson Correctional Center,Lexington,Davidson,NC,27292,258,State,Minimum,Open,1,Minimal,Medium,35.8164574705301,-80.2325763812119
10004219,Morrison Correctional Institution,Hoffman,Richmond,NC,28347,801,State,Medium,Open,1,Minimal,High,35.0230909953933,-79.6101829594049
10001763,Nash Correctional Institution,Nashville,Nash,NC,27856,654,State,Medium,Open,1,Minimal,High,35.9705651775013,-78.0174795429231
10001801,New Hanover Correctional Center,Wilmington,New Hanover,NC,28402,384,State,Minimum,Open,1,Minimal,High,34.2661900093156,-77.9236950063723
10004173,North Carolina Correctional Institution For Women,Raleigh,Wake,NC,27610,1776,State,Close,Open,1,Minimal,High,35.7628680047406,-78.6200969659817
10004165,Orange Correctional Center,Hillsborough,Orange,NC,27278,200,State,Minimum,Open,1,Minimal,High,36.0532900113861,-79.1013750336605
10001788,Pamlico Correctional Institution,Bayboro,Pamlico,NC,28515,550,State,Medium,Open,6,Major,High,35.1604910079206,-76.7717080268877
10001752,Pasquotank Correctional Institution,Elizabeth City,Pasquotank,NC,27906,896,State,Close,Open,5,Major,Medium,36.3592840015699,-76.3110380416322
10001753,Pasquotank C.i. Minimum Security Unit,Elizabeth City,Pasquotank,NC,27906,256,State,Minimum,Open,1,Minimal,High,36.3592840015699,-76.3110380416322
10004226,Pender Correctional Institution,Burgaw,Pender,NC,28425,768,State,Medium,Open,7,Severe,High,34.5545069847975,-77.9395770365091
10004183,Piedmont Correctional Institution,Salisbury,Rowan,NC,28147,952,State,Medium,Open,1,Minimal,High,35.6219560166923,-80.5457939582625
10001747,Polk Correctional Institution,Butner,Granville,NC,27509,904,State,Close,Open,1,Minimal,High,36.142715263618,-78.7678650528604
